Countries,Population density (people per sq. km of land area),"Mortality rate, under-5 (per 1,000 live births)"
Maldives,1336.666667,9.2
West Bank and Gaza,713.4023256,21.7
Mauritius,621.1497537,13.9
Lebanon,548.5919844,8.6
"Korea, Rep.",517.2748769,3.6
Netherlands,500.5938854,3.9
Rwanda,459.7301986,44.3
India,435.6571706,49.8
Burundi,421.2172897,84.6
Israel,379.6534196,4.1
South Asia,360.7093797,54.6
South Asia (IDA & IBRD),360.7093797,54.62570336
Japan,348.7266842,2.8
Philippines,332.490492,28.8
Sri Lanka,331.2230904,10
Grenada,312.7911765,12.2
St. Lucia,301.057377,14.7
El Salvador,294.7734556,17.4
Vietnam,292.6077982,22.3
St. Vincent and the Grenadines,280.4102564,18.8
United Kingdom,267.0737817,4.4
Trinidad and Tobago,264.0317739,20.9
Jamaica,256.999169,16.2
Pakistan,240.0429198,83.3
Germany,232.1080539,3.8
Dominican Republic,215.3993583,31.5
Luxembourg,214.7949807,2
Kuwait,210.6128507,9
Switzerland,207.2236309,4
Italy,206.6673693,3.6
Seychelles,198.6065217,13.8
Nepal,196.5449878,37.4
Nigeria,194.8636714,112.5
"Gambia, The",190.5336957,71.1
Uganda,188.4249501,56.9
Malawi,177.0815974,66.9
Kosovo,167.3371911,0
Guatemala,149.4540314,30.1
Tonga,146.6472222,17.1
China,145.317356,11.4
Indonesia,140.460914,28.2
Czech Republic,136.3210335,3.5
Denmark,133.5354456,3.6
Lower middle income,132.6370851,54.5
Thailand,132.5646989,12.6
Togo,130.8174848,80.8
East Asia & Pacific (excluding high income),126.9705153,18.8
East Asia & Pacific (IDA & IBRD countries),126.3524923,18.72642777
Euro area,126.3507455,4.068725057
Cyprus,124.8547619,2.9
Poland,124.1442732,5.2
Moldova,123.8429153,16.1
France,121.0266182,4.4
European Union,119.8896249,4.561552659
Ghana,117.7225894,64
Azerbaijan,115.3488139,32.9
Portugal,113.5425141,3.7
Slovak Republic,112.686624,7.5
Hungary,108.985618,6.1
Albania,105.6078102,14.4
Armenia,105.5902353,14.7
Slovenia,102.3823237,2.7
Turkey,100.7286462,14.3
Ethiopia,96.958732,61.8
Benin,93.99150408,102.1
Early-demographic dividend,93.00219108,43.73014588
Spain,92.92273645,4.2
East Asia & Pacific,92.83652468,17.85470893
Malaysia,91.01201339,7.2
"Egypt, Arab Rep.",89.9891205,24.8
Sierra Leone,87.49829593,126.4
Cambodia,86.8351235,30.6
Romania,86.53068063,11.5
Greece,84.50281614,4.6
IDA blend,84.09977566,84.7216523
Jordan,83.533262,18.5
"Macedonia, FYR",82.30075337,6
Myanmar,81.8232973,51.7
Serbia,81.5295678,6.8
Iraq,81.21498665,32.9
Kenya,78.82697227,51.3
Ukraine,78.15074833,9.5
Timor-Leste,77.83187626,54.5
Senegal,76.20919857,49.7
Morocco,76.00538427,28.6
Croatia,75.73961758,4.5
Bosnia and Herzegovina,74.56160156,5.7
Swaziland,73.7855814,62.6
Uzbekistan,72.30300893,40.4
Tunisia,71.64105304,14.6
Honduras,71.15631424,21.1
Cote d'Ivoire,69.67643711,95.5
Lesotho,69.47289196,92
Middle income,67.16470102,41.3
Ireland,67.02315285,3.7
Bulgaria,66.54327561,10.9
IBRD only,65.95184846,30.7668446
Georgia,65.20522062,12.6
Mexico,64.50054425,13.8
Burkina Faso,64.28800439,92.4
Low & middle income,64.23325424,48
Ecuador,64.03171203,22.3
Guinea-Bissau,64.02962304,96.2
IDA & IBRD total,63.77799872,48.51758737
Tajikistan,59.77432882,46.3
Tanzania,58.50374915,50.5
IDA total,58.4605474,75.05236103
World,55.96633427,43.9
Panama,52.02495292,17.6
